day,num,sell_won,sell,get_1,num_1,sim_1,sim_2
2002-12-07,1,3681782000,1840891,0,0,0,0
2002-12-14,2,4904274000,2452137,2002006800,1,0,0
2002-12-21,3,4729342000,2364671,2000000000,1,0,1
2002-12-28,4,5271464000,2635732,0,0,0,0
2003-01-04,5,6277102000,3138551,0,0,0,0
2003-01-11,6,15305356000,7652678,6574451700,1,0,0
2003-01-18,7,12794890000,6397445,0,0,0,0
2003-01-25,8,20751450000,10375725,0,0,1,1
2003-02-01,9,73624020000,36812010,0,0,2,6
2003-02-08,10,260856392000,130428196,6430437900,13,18,13
2003-02-15,11,91925306000,45962653,4780152300,5,4,4
2003-02-22,12,76255508000,38127754,1348845700,12,5,8
2003-03-01,13,66532136000,33266068,0,0,8,7
2003-03-08,14,99838648000,49919324,9375048300,4,7,5
2003-03-15,15,73264910000,36632455,17014245000,1,8,5
2003-03-22,16,75777348000,37888674,4377146100,4,2,7
2003-03-29,17,72718152000,36359076,5349491200,3,6,4
2003-04-05,18,66371660000,33185830,0,0,4,0
2003-04-12,19,105957818000,52978909,40722959400,1,8,4
2003-04-19,20,81056776000,40528388,19352212800,1,10,6
2003-04-26,21,84247142000,42123571,797475400,23,5,2
2003-05-03,22,79455152000,39727576,4552194900,4,6,6
2003-05-10,23,77374256000,38687128,4317947700,4,1,3
2003-05-17,24,78486634000,39243317,0,0,7,2
2003-05-24,25,120073768000,60036884,24227745300,2,8,12
2003-05-31,26,80193026000,40096513,3495069900,5,5,5
2003-06-07,27,76145050000,38072525,9543982500,2,3,4
2003-06-14,28,75448366000,37724183,1700361100,10,4,4
2003-06-21,29,74523120000,37261560,3552594000,5,7,6
2003-06-28,30,72399690000,36199845,8728555500,2,3,3
2003-07-05,31,71317306000,35658653,8106672900,2,4,5
2003-07-12,32,71179198000,35589599,1634528300,10,7,4
2003-07-19,33,67457252000,33728626,14903517600,1,2,5
2003-07-26,34,69389894000,34694947,3056918000,5,2,3
2003-08-02,35,66143062000,33071531,5054598200,3,7,3
2003-08-09,36,66856686000,33428343,16014475800,1,4,3
2003-08-16,37,65509794000,32754897,4985999400,3,7,2
2003-08-23,38,67369284000,33684642,5374866400,3,4,3
2003-08-30,39,66094476000,33047238,2623748800,6,4,4
2003-09-06,40,65699086000,32849543,1147652400,13,7,2
2003-09-13,41,57624562000,28812281,0,0,6,3
2003-09-20,42,119909740000,59954870,6899280100,6,6,5
2003-09-27,43,74686296000,37343148,17749630800,1,6,2
2003-10-04,44,69956950000,34978475,3362155800,5,0,4
2003-10-11,45,71216232000,35608116,8356417800,2,4,4
2003-10-18,46,68181568000,34090784,5327758800,3,3,6
2003-10-25,47,67756694000,33878347,3250042400,5,4,2
2003-11-01,48,65806832000,32903416,2415673600,6,4,4
2003-11-08,49,64501142000,32250571,1967504600,7,3,5
2003-11-15,50,65563234000,32781617,5227061400,3,5,6
2003-11-22,51,62553680000,31276840,2421117000,6,2,8
2003-11-29,52,64393446000,32196723,3900844900,4,2,4
2003-12-06,53,64996010000,32498005,5014371000,3,4,6
2003-12-13,54,63833006000,31916503,5148626600,3,3,2
2003-12-20,55,62195764000,31097882,7088799600,2,3,5
2003-12-27,56,65258932000,32629466,3777570900,4,5,2
2004-01-03,57,70132666000,35066333,4114411900,4,3,4
2004-01-10,58,66638136000,33319068,3676429200,4,2,1
2004-01-17,59,67563698000,33781849,4127587300,4,4,5
2004-01-24,60,65405936000,32702968,2172504600,7,2,2
2004-01-31,61,73312994000,36656497,3541038800,5,6,4
2004-02-07,62,66740368000,33370184,15817286400,1,2,5
2004-02-14,63,67074050000,33537025,7922245500,2,6,6
2004-02-21,64,65085154000,32542577,3899818000,4,4,6
2004-02-28,65,66685144000,33342572,3727945800,4,4,5
2004-03-06,66,63378796000,31689398,3685138200,4,4,1
2004-03-13,67,64314872000,32157436,2114436500,7,4,4
2004-03-20,68,63813236000,31906618,2945882100,5,3,8
2004-03-27,69,63711302000,31855651,4962712200,3,2,3
2004-04-03,70,63232578000,31616289,5031277800,3,3,9
2004-04-10,71,62889986000,31444993,0,0,1,3
2004-04-17,72,125651214000,62825607,3260524600,13,10,8
2004-04-24,73,72635862000,36317931,2766662100,6,3,6
2004-05-01,74,68902158000,34451079,5284949800,3,4,2
2004-05-08,75,66138372000,33069186,3914616900,4,3,1
2004-05-15,76,65083924000,32541962,7451022600,2,7,3
2004-05-22,77,64420666000,32210333,5155758600,3,10,5
2004-05-29,78,61257794000,30628897,3519850000,4,5,2
2004-06-05,79,60390004000,30195002,3416443800,4,1,7
2004-06-12,80,60160440000,30080220,13809540000,1,1,7
2004-06-19,81,60983308000,30491654,2714288880,5,0,5
2004-06-26,82,61302808000,30651404,14562494400,1,4,1
2004-07-03,83,62512062000,31256031,7086948300,2,3,9
2004-07-10,84,62780760000,31390380,7669779000,2,5,4
2004-07-17,85,59451304000,29725652,3462109800,4,4,5
2004-07-24,86,59835968000,29917984,14252186400,1,1,2
2004-07-31,87,83793642000,41896821,1799358055,11,2,5
2004-08-07,88,51910612000,51910612,3069709650,4,8,4
2004-08-14,89,55102179000,55102179,4248321900,3,8,6
2004-08-21,90,55493544000,55493544,3291435300,4,5,10
2004-08-28,91,59061052000,59061052,3582902400,4,7,6
2004-09-04,92,58296001000,58296001,1233270846,11,7,3
2004-09-11,93,57236313000,57236313,2269178150,6,5,8
2004-09-18,94,57144729000,57144729,2245339950,6,5,10
2004-09-25,95,60077493000,60077493,1747741238,8,2,6
2004-10-02,96,54217572000,54217572,1847133515,7,10,9
2004-10-09,97,57713200000,57713200,1496214000,9,10,6
2004-10-16,98,56231084000,56231084,3177972300,4,6,12
2004-10-23,99,56207491000,56207491,2169219050,6,7,5
2004-10-30,100,56561977000,56561977,3315315525,4,4,4
2004-11-06,101,57585065000,57585065,2707297500,5,5,5
2004-11-13,102,56937962000,56937962,1457153067,9,3,3
2004-11-20,103,57420615000,57420615,1691589563,8,8,13
2004-11-27,104,56533705000,56533705,6610743750,2,5,2
2004-12-04,105,57479716000,57479716,3416781450,4,6,7
2004-12-11,106,57384485000,57384485,810461157,16,7,8
2004-12-18,107,57545202000,57545202,6679927800,2,4,9
2004-12-25,108,58875228000,58875228,1998900772,7,8,9
2005-01-01,109,62584098000,62584098,1246838200,12,8,7
2005-01-08,110,57625490000,57625490,4566262000,3,4,4
2005-01-15,111,57876999000,57876999,2199047450,6,6,5
2005-01-22,112,59292005000,59292005,1567271167,9,5,8
2005-01-29,113,59258248000,59258248,1561528934,9,5,8
2005-02-05,114,60079401000,60079401,2362345050,6,5,9
2005-02-12,115,59130557000,59130557,1488589567,9,9,3
2005-02-19,116,61606084000,61606084,1997747315,7,12,8
2005-02-26,117,59429610000,59429610,1558378334,9,12,8
2005-03-05,118,57171934000,57171934,1297989720,10,7,7
2005-03-12,119,57800632000,57800632,1474899400,9,4,9
2005-03-19,120,57418983000,57418983,4364530300,3,13,2
2005-03-26,121,57134544000,57134544,6839648100,2,10,5
2005-04-02,122,56171704000,56171704,1450073800,9,12,9
2005-04-09,123,54097448000,54097448,2532982680,5,6,6
2005-04-16,124,54180838000,54180838,1395936267,9,4,5
2005-04-23,125,53149705000,53149705,1754870786,7,6,7
2005-04-30,126,52748965000,52748965,1369301500,9,4,5
2005-05-07,127,50752603000,50752603,1965939150,6,8,5
2005-05-14,128,52310392000,52310392,2064043100,6,5,4
2005-05-21,129,51555754000,51555754,1093629655,11,4,11
2005-05-28,130,51359012000,51359012,3036496650,4,5,9
2005-06-04,131,50231773000,50231773,1451214488,8,6,6
2005-06-11,132,49921897000,49921897,2920473525,4,10,7
2005-06-18,133,50889926000,50889926,1450242600,8,7,11
2005-06-25,134,50445575000,50445575,2349155100,5,16,14
2005-07-02,135,51062672000,51062672,1717293515,7,4,10
2005-07-09,136,51144633000,51144633,1997694150,6,8,5
2005-07-16,137,49978654000,49978654,1270403467,9,7,7
2005-07-23,138,47688450000,47688450,2227152000,5,8,7
2005-07-30,139,48371085000,48371085,1650210215,7,6,6
2005-08-06,140,45983464000,45983464,2109462840,5,3,7
2005-08-13,141,48016958000,48016958,1900552400,6,8,1
2005-08-20,142,48012844000,48012844,1018265564,11,3,5
2005-08-27,143,49415357000,49415357,3954584700,3,8,7
2005-09-03,144,49202521000,49202521,1402440413,8,3,6
2005-09-10,145,48913832000,48913832,3797838200,3,8,3
2005-09-17,146,50677555000,50677555,6043415250,2,3,10
2005-09-24,147,50345605000,50345605,1700040215,7,3,6
2005-10-01,148,49523247000,49523247,2323596420,5,4,7
2005-10-08,149,48406950000,48406950,1639052143,7,5,7
2005-10-15,150,48763778000,48763778,2831645850,4,3,7
2005-10-22,151,47357067000,47357067,2716634025,4,6,7
2005-10-29,152,48180334000,48180334,2278131840,5,4,4
2005-11-05,153,47777735000,47777735,2730526125,4,9,9
2005-11-12,154,48022386000,48022386,2836628700,4,9,4
2005-11-19,155,46140202000,46140202,1193005734,9,7,6
2005-11-26,156,47344584000,47344584,1401099900,8,6,6
2005-12-03,157,46853365000,46853365,5484903750,2,3,5
2005-12-10,158,46368888000,46368888,1069544340,10,13,5
2005-12-17,159,44311926000,44311926,1755407300,6,5,5
2005-12-24,160,46833239000,46833239,5490805350,2,3,3
2005-12-31,161,53096453000,53096453,1996876272,7,6,6
2006-01-07,162,49050086000,49050086,2308265760,5,7,6
2006-01-14,163,49018952000,49018952,1629726515,7,7,1
2006-01-21,164,53052119000,53052119,4054937900,3,4,6
2006-01-28,165,58088118000,58088118,6767426700,2,5,11
2006-02-04,166,52157466000,52157466,1111299982,11,5,8
2006-02-11,167,52744392000,52744392,2491222920,5,5,7
2006-02-18,168,51496212000,51496212,2349946920,5,2,5
2006-02-25,169,52076183000,52076183,2482888380,5,7,5
2006-03-04,170,49718245000,49718245,1923108250,6,5,7
2006-03-11,171,50357474000,50357474,1961339700,6,5,6
2006-03-18,172,50758266000,50758266,1081154073,11,5,3
2006-03-25,173,52286521000,52286521,1487736788,8,5,8
2006-04-01,174,52340568000,52340568,1771103058,7,6,7
2006-04-08,175,50895147000,50895147,2371132620,5,6,4
2006-04-15,176,50488528000,50488528,2314663080,5,9,10
2006-04-22,177,50480325000,50480325,1693285500,7,8,6
2006-04-29,178,49582758000,49582758,2254621080,5,5,5
2006-05-06,179,47291694000,47291694,1081093920,10,8,5
2006-05-13,180,48895477000,48895477,5763371550,2,10,8
2006-05-20,181,49124446000,49124446,1941763300,6,5,10
2006-05-27,182,47222594000,47222594,3721439400,3,3,6
2006-06-03,183,45938460000,45938460,1777221500,6,10,4
2006-06-10,184,45503351000,45503351,1747753050,6,4,5
2006-06-17,185,45783088000,45783088,3522485800,3,2,6
2006-06-24,186,45484428000,45484428,1187882600,9,8,3
2006-07-01,187,45855961000,45855961,1544733900,7,8,7
2006-07-08,188,45176242000,45176242,3501405200,3,11,5
2006-07-15,189,43650551000,43650551,3461775100,3,7,5
2006-07-22,190,44864459000,44864459,1784159450,6,10,10
2006-07-29,191,44534869000,44534869,2577114675,4,5,8
2006-08-05,192,42035065000,42035065,2445348375,4,9,5
2006-08-12,193,43788477000,43788477,3404449700,3,9,5
2006-08-19,194,44511515000,44511515,2650567875,4,4,4
2006-08-26,195,44374725000,44374725,918992591,11,13,4
2006-09-02,196,45773496000,45773496,727876520,15,3,5
2006-09-09,197,45993306000,45993306,1803018300,6,8,11
2006-09-16,198,45614021000,45614021,1797855050,6,4,5
2006-09-23,199,45021068000,45021068,5344252200,2,8,5
2006-09-30,200,46640423000,46640423,1344616613,8,9,7
2006-10-07,201,42254768000,42254768,9719465400,1,2,5
2006-10-14,202,48304034000,48304034,1893391700,6,4,4
2006-10-21,203,47033359000,47033359,2164564740,5,6,9
2006-10-28,204,46077750000,46077750,1358347125,8,3,8
2006-11-04,205,46330516000,46330516,1835221800,6,7,10
2006-11-11,206,44326979000,44326979,2032859340,5,7,5
2006-11-18,207,45282336000,45282336,2104673760,5,5,7
2006-11-25,208,45516378000,45516378,1760767400,6,6,11
2006-12-02,209,43753377000,43753377,1660896350,6,11,6
2006-12-09,210,44757963000,44757963,5139085950,2,2,6
2006-12-16,211,45332675000,45332675,1035800250,10,10,4
2006-12-23,212,46139120000,46139120,2660747250,4,4,6
2006-12-30,213,48745094000,48745094,1376678025,8,6,8
2007-01-06,214,49195740000,49195740,1406980875,8,9,6
2007-01-13,215,47675761000,47675761,1587689615,7,2,7
2007-01-20,216,48342018000,48342018,848506108,13,7,5
2007-01-27,217,48260644000,48260644,1611246172,7,5,6
2007-02-03,218,47018314000,47018314,2779075800,4,4,2
2007-02-10,219,46903745000,46903745,1208409167,9,5,2
2007-02-17,220,50383399000,50383399,1958094950,6,4,4
2007-02-24,221,47674135000,47674135,1800104250,6,5,9
2007-03-03,222,47735197000,47735197,2275193820,5,5,7
2007-03-10,223,46036874000,46036874,1498170600,7,4,6
2007-03-17,224,46435109000,46435109,1808969950,6,5,2
2007-03-24,225,46352016000,46352016,1777201800,6,1,4
2007-03-31,226,45145643000,45145643,1744100150,6,6,5
2007-04-07,227,44444776000,44444776,5253542400,2,6,3
2007-04-14,228,44764100000,44764100,1146700334,9,5,3
2007-04-21,229,44762989000,44762989,1451441100,7,6,5
2007-04-28,230,44191351000,44191351,1292929163,8,5,5
2007-05-05,231,42355627000,42355627,1088365900,9,3,4
2007-05-12,232,43564632000,43564632,1110918400,9,7,6
2007-05-19,233,43516805000,43516805,999153750,10,3,5
2007-05-26,234,42814085000,42814085,2519743875,4,3,6
2007-06-02,235,43347391000,43347391,3433330100,3,3,3
2007-06-09,236,42941871000,42941871,5030040150,2,6,3
2007-06-16,237,43358287000,43358287,1440630729,7,4,8
2007-06-23,238,42952477000,42952477,1121660567,9,5,10
2007-06-30,239,43296565000,43296565,1134140167,9,7,3
2007-07-07,240,43603443000,43603443,5098251450,2,11,9
2007-07-14,241,43246894000,43246894,2552016300,4,6,8
2007-07-21,242,42679760000,42679760,1234542375,8,3,8
2007-07-28,243,41304830000,41304830,2408850000,4,3,3
2007-08-04,244,39411047000,39411047,9121583100,1,3,4
2007-08-11,245,41854623000,41854623,1382583129,7,5,3
2007-08-18,246,41453154000,41453154,1911774240,5,3,7
2007-08-25,247,42231698000,42231698,1669313900,6,4,5
2007-09-01,248,42348403000,42348403,1227479363,8,1,6
2007-09-08,249,42539134000,42539134,1663568700,6,5,3
2007-09-15,250,42122808000,42122808,1994726280,5,1,6
2007-09-22,251,44493014000,44493014,1282616400,8,2,6
2007-09-29,252,41207920000,41207920,1391089715,7,5,5
2007-10-06,253,42309347000,42309347,2466189525,4,6,8
2007-10-13,254,42259113000,42259113,9741015900,1,4,7
2007-10-20,255,41425341000,41425341,1598618550,6,7,2
2007-10-27,256,41996580000,41996580,4891017000,2,4,4
2007-11-03,257,41433637000,41433637,2391377025,4,7,2
2007-11-10,258,41364428000,41364428,2426434350,4,8,8
2007-11-17,259,40905570000,40905570,4838533500,2,7,8
2007-11-24,260,40140211000,40140211,2310085575,4,11,6
2007-12-01,261,41215041000,41215041,3192299100,3,7,2
2007-12-08,262,39232234000,39232234,4518741600,2,9,5
2007-12-15,263,39677128000,39677128,1551704900,6,6,7
2007-12-22,264,39783178000,39783178,1344889200,7,5,7
2007-12-29,265,40913922000,40913922,1200838575,8,8,5
2008-01-05,266,41937067000,41937067,3207211700,3,4,4
2008-01-12,267,41835853000,41835853,3257663300,3,6,3
2008-01-19,268,41213802000,41213802,1350954515,7,8,2
2008-01-26,269,41357619000,41357619,1961399940,5,3,8
2008-02-02,270,41845351000,41845351,1927830060,5,8,6
2008-02-09,271,40879633000,40879633,1565918150,6,9,6
2008-02-16,272,43310674000,43310674,1104622800,9,3,4
2008-02-23,273,42816211000,42816211,3339543100,3,6,7
2008-03-01,274,42631711000,42631711,2505085575,4,5,6
2008-03-08,275,42329813000,42329813,10044066900,1,6,6
2008-03-15,276,42567610000,42567610,3312569000,3,7,4
2008-03-22,277,41868708000,41868708,3272627800,3,3,9
2008-03-29,278,41088180000,41088180,3186530000,3,2,6
2008-04-05,279,41130542000,41130542,1914205320,5,2,2
2008-04-12,280,40673999000,40673999,1355258529,7,5,10
2008-04-19,281,40800514000,40800514,1554683200,6,4,5
2008-04-26,282,41051175000,41051175,1322052643,7,6,2
2008-05-03,283,40133316000,40133316,3137224600,3,6,5
2008-05-10,284,39773403000,39773403,3117640300,3,5,6
2008-05-17,285,40364871000,40364871,3164370100,3,5,2
2008-05-24,286,40944483000,40944483,3236566300,3,3,3
2008-05-31,287,40623489000,40623489,1328657100,7,5,3
2008-06-07,288,39970134000,39970134,2357261550,4,3,5
2008-06-14,289,39406643000,39406643,0,0,9,1
2008-06-21,290,80362302000,80362302,2149214424,13,6,14
2008-06-28,291,44143418000,44143418,1450585200,7,7,4
2008-07-05,292,43394631000,43394631,720373950,14,5,4
2008-07-12,293,42399708000,42399708,1656764400,6,9,2
2008-07-19,294,41563813000,41563813,2406504975,4,1,6
2008-07-26,295,42248135000,42248135,0,0,6,4
2008-08-02,296,63377899000,63377899,3066088275,8,12,7
2008-08-09,297,43641475000,43641475,5056668750,2,4,5
2008-08-16,298,43151675000,43151675,9909778500,1,8,5
2008-08-23,299,44463909000,44463909,1483772529,7,3,6
2008-08-30,300,44465047000,44465047,836092425,12,4,4
2008-09-06,301,44377177000,44377177,1447385015,7,2,6
2008-09-13,302,46382605000,46382605,5472167250,2,4,8
2008-09-20,303,42841760000,42841760,1672749000,6,3,3
2008-09-27,304,43158653000,43158653,1661646150,6,1,7
2008-10-04,305,43960659000,43960659,2008210140,5,11,3
2008-10-11,306,44421462000,44421462,2102669520,5,7,5
2008-10-18,307,43880990000,43880990,2587643250,4,4,9
2008-10-25,308,43339416000,43339416,10232872800,1,7,6
2008-11-01,309,44157528000,44157528,901622946,11,3,11
2008-11-08,310,43718082000,43718082,1296713325,8,7,4
2008-11-15,311,43209215000,43209215,1237691063,8,1,3
2008-11-22,312,42255391000,42255391,629017820,15,5,8
2008-11-29,313,43672096000,43672096,1715422800,6,6,3
2008-12-06,314,42328094000,42328094,1660512200,6,3,3
2008-12-13,315,44339180000,44339180,1308728625,8,5,1
2008-12-20,316,44073768000,44073768,1673586400,6,1,4
2008-12-27,317,44135114000,44135114,2576258550,4,7,5
2009-01-03,318,46663728000,46663728,1207436600,9,4,4
2009-01-10,319,45435183000,45435183,2135659380,5,5,7
2009-01-17,320,46659886000,46659886,5513067900,2,1,2
2009-01-24,321,50617982000,50617982,1959136100,6,9,5
2009-01-31,322,48948294000,48948294,1904544700,6,4,12
2009-02-07,323,49209477000,49209477,1461025388,8,10,3
2009-02-14,324,47988317000,47988317,1865130350,6,8,9
2009-02-21,325,46636979000,46636979,1806122450,6,12,7
2009-02-28,326,47224551000,47224551,1832134550,6,6,5
2009-03-07,327,45791560000,45791560,882674750,12,7,1
2009-03-14,328,47316988000,47316988,1819795900,6,6,5
2009-03-21,329,47198504000,47198504,1830391200,6,4,4
2009-03-28,330,45859496000,45859496,1162280200,9,2,4
2009-04-04,331,46641467000,46641467,2165902620,5,7,6
2009-04-11,332,46042557000,46042557,1359448388,8,4,4
2009-04-18,333,46019070000,46019070,1550987143,7,4,3
2009-04-25,334,44439656000,44439656,1523002972,7,3,5
2009-05-02,335,43977478000,43977478,2037492480,5,9,5
2009-05-09,336,43069333000,43069333,1685632650,6,6,6
2009-05-16,337,43432467000,43432467,1257500513,8,6,9
2009-05-23,338,43136020000,43136020,3383431000,3,6,5
2009-05-30,339,42035640000,42035640,1096778334,9,7,7
2009-06-06,340,42892121000,42892121,1439393186,7,3,6
2009-06-13,341,44722448000,44722448,1497207772,7,6,7
2009-06-20,342,43782188000,43782188,3454095800,3,6,7
2009-06-27,343,43656460000,43656460,1717153000,6,4,2
2009-07-04,344,43838886000,43838886,1467106543,7,7,3
2009-07-11,345,43530937000,43530937,5203577550,2,2,3
2009-07-18,346,42862389000,42862389,2017727340,5,2,3
2009-07-25,347,44219740000,44219740,1456624286,7,5,7
2009-08-01,348,42786310000,42786310,3299994000,3,4,6
2009-08-08,349,43433870000,43433870,3353209000,3,5,5
2009-08-15,350,42681094000,42681094,1101052467,9,9,8
2009-08-22,351,43947492000,43947492,2583357150,4,3,5
2009-08-29,352,44719545000,44719545,1732858250,6,7,3
2009-09-05,353,44552925000,44552925,5290838250,2,10,8
2009-09-12,354,44709689000,44709689,2124464340,5,3,7
2009-09-19,355,45017050000,45017050,2145424800,5,2,6
2009-09-26,356,44684958000,44684958,1157185267,9,9,9
2009-10-03,357,45232409000,45232409,5313394350,2,5,5
2009-10-10,358,45651829000,45651829,3472654900,3,5,13
2009-10-17,359,45288256000,45288256,1286712600,8,4,7
2009-10-24,360,45719032000,45719032,3566716200,3,5,3
2009-10-31,361,45062676000,45062676,1473115115,7,5,6
2009-11-07,362,44336363000,44336363,1729424650,6,11,7
2009-11-14,363,44863948000,44863948,2615910600,4,2,3
2009-11-21,364,44192004000,44192004,2531914800,4,3,4
2009-11-28,365,45806066000,45806066,10697716800,1,5,9
2009-12-05,366,45962166000,45962166,5351553900,2,6,9
2009-12-12,367,46459307000,46459307,1581736586,7,4,7
2009-12-19,368,43746046000,43746046,1465825115,7,3,5
2009-12-26,369,46716275000,46716275,1842177750,6,5,5
2010-01-02,370,49762652000,49762652,1678941943,7,6,7
2010-01-09,371,45843166000,45843166,1524130543,7,6,6
